################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: dice12
#     Report Created on: Sat Dec 21 22:49:23 2024
#     Working Directory: /mnt/home/dice12/dice/proj3/spy/pj3
#     Report Location  : ./pj3/TOP/lint/lint_turbo_rtl/spyglass_reports/lint/W287b/000/W287b001.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-3
#     Policy Name      : lint(SpyGlass_vQ-2020.03-SP2-03)
#     Comment          : Output port of an instance is not connected
#
################################################################################
#CrossProbeTag:W287b_VIOLATION_CSV_TAG
##Sheet_Prop:hidecols:1
##Sheet_Prop:cross-probe-data-col:1
##Sheet_Prop:use_violation_based_waiver:1

TagId,File Name,Line Number,Port Name,WAIVED
25,./../../rtl/LAB3/stair_array.v,961,"D_OUT","no"
26,./../../rtl/LAB3/stair_array.v,967,"W_OUT","no"
27,./../../rtl/LAB3/stair_array.v,967,"D_OUT","no"
28,./../../rtl/LAB3/stair_array.v,972,"W_OUT","no"
29,./../../rtl/LAB3/stair_array.v,972,"D_OUT","no"
30,./../../rtl/LAB3/stair_array.v,976,"W_OUT","no"
31,./../../rtl/LAB3/stair_array.v,976,"D_OUT","no"
32,./../../rtl/LAB3/stair_array.v,979,"W_OUT","no"
33,./../../rtl/LAB3/stair_array.v,979,"D_OUT","no"
34,./../../rtl/LAB3/stair_array.v,981,"W_OUT","no"
35,./../../rtl/LAB3/stair_array.v,981,"D_OUT","no"
36,./../../rtl/LAB3/stair_array.v,982,"W_OUT","no"
37,./../../rtl/LAB3/stair_array.v,982,"D_OUT","no"
44,./../../rtl/LAB3/stair_array.v,961,"W_OUT","no"
