################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: dice12
#     Report Created on: Sat Dec 21 23:06:53 2024
#     Working Directory: /mnt/home/dice12/dice/proj3/spy/pj3
#     Report Location  : ./spyglass-1/lint/lint_turbo_rtl/spyglass_reports/lint/W287b/000/W287b003.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-3
#     Policy Name      : lint(SpyGlass_vQ-2020.03-SP2-03)
#     Comment          : Output port of an instance is not connected
#
################################################################################
#CrossProbeTag:W287b_VIOLATION_CSV_TAG
##Sheet_Prop:hidecols:1
##Sheet_Prop:cross-probe-data-col:1
##Sheet_Prop:use_violation_based_waiver:1

TagId,File Name,Line Number,Port Name,WAIVED
21,../../syn/LAB3/outputs/TOP_gate.v,218,"QN","no"
27,../../syn/LAB3/outputs/TOP_gate.v,270,"QN","no"
33,../../syn/LAB3/outputs/TOP_gate.v,322,"QN","no"
1077,../../syn/LAB3/outputs/TOP_gate.v,15300,"QN","no"
1083,../../syn/LAB3/outputs/TOP_gate.v,15352,"QN","no"
1089,../../syn/LAB3/outputs/TOP_gate.v,15404,"QN","no"
1095,../../syn/LAB3/outputs/TOP_gate.v,15456,"QN","no"
20727,../../syn/LAB3/outputs/TOP_gate.v,154616,"QN","no"
20733,../../syn/LAB3/outputs/TOP_gate.v,154668,"QN","no"
20739,../../syn/LAB3/outputs/TOP_gate.v,154720,"QN","no"
20745,../../syn/LAB3/outputs/TOP_gate.v,154772,"QN","no"
21809,../../syn/LAB3/outputs/TOP_gate.v,169900,"QN","no"
21815,../../syn/LAB3/outputs/TOP_gate.v,169952,"QN","no"
21821,../../syn/LAB3/outputs/TOP_gate.v,170004,"QN","no"
21827,../../syn/LAB3/outputs/TOP_gate.v,170056,"QN","no"
22891,../../syn/LAB3/outputs/TOP_gate.v,185183,"QN","no"
22897,../../syn/LAB3/outputs/TOP_gate.v,185235,"QN","no"
22903,../../syn/LAB3/outputs/TOP_gate.v,185287,"QN","no"
22909,../../syn/LAB3/outputs/TOP_gate.v,185339,"QN","no"
23969,../../syn/LAB3/outputs/TOP_gate.v,200464,"QN","no"
23975,../../syn/LAB3/outputs/TOP_gate.v,200516,"QN","no"
23981,../../syn/LAB3/outputs/TOP_gate.v,200568,"QN","no"
23987,../../syn/LAB3/outputs/TOP_gate.v,200620,"QN","no"
25043,../../syn/LAB3/outputs/TOP_gate.v,215745,"QN","no"
25049,../../syn/LAB3/outputs/TOP_gate.v,215797,"QN","no"
25055,../../syn/LAB3/outputs/TOP_gate.v,215849,"QN","no"
25061,../../syn/LAB3/outputs/TOP_gate.v,215901,"QN","no"
26119,../../syn/LAB3/outputs/TOP_gate.v,231026,"QN","no"
26125,../../syn/LAB3/outputs/TOP_gate.v,231078,"QN","no"
26131,../../syn/LAB3/outputs/TOP_gate.v,231130,"QN","no"
26137,../../syn/LAB3/outputs/TOP_gate.v,231182,"QN","no"
27201,../../syn/LAB3/outputs/TOP_gate.v,166,"QN","no"
