################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: dice12
#     Report Created on: Sat Dec 21 23:06:53 2024
#     Working Directory: /mnt/home/dice12/dice/proj3/spy/pj3
#     Report Location  : ./spyglass-1/lint/lint_turbo_rtl/spyglass_reports/lint/W287b/000/W287b002.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-3
#     Policy Name      : lint(SpyGlass_vQ-2020.03-SP2-03)
#     Comment          : Output port of an instance is not connected
#
################################################################################
#CrossProbeTag:W287b_VIOLATION_CSV_TAG
##Sheet_Prop:hidecols:1
##Sheet_Prop:cross-probe-data-col:1
##Sheet_Prop:use_violation_based_waiver:1

TagId,File Name,Line Number,Port Name,WAIVED
768,../../syn/LAB3/outputs/TOP_gate.v,4111,"QN","no"
1847,../../syn/LAB3/outputs/TOP_gate.v,19385,"QN","no"
1848,../../syn/LAB3/outputs/TOP_gate.v,19393,"QN","no"
21496,../../syn/LAB3/outputs/TOP_gate.v,158704,"QN","no"
21497,../../syn/LAB3/outputs/TOP_gate.v,158710,"QN","no"
22578,../../syn/LAB3/outputs/TOP_gate.v,173988,"QN","no"
22579,../../syn/LAB3/outputs/TOP_gate.v,173994,"QN","no"
23660,../../syn/LAB3/outputs/TOP_gate.v,189270,"QN","no"
23661,../../syn/LAB3/outputs/TOP_gate.v,189276,"QN","no"
24738,../../syn/LAB3/outputs/TOP_gate.v,204551,"QN","no"
24739,../../syn/LAB3/outputs/TOP_gate.v,204557,"QN","no"
25812,../../syn/LAB3/outputs/TOP_gate.v,219830,"QN","no"
25813,../../syn/LAB3/outputs/TOP_gate.v,219836,"QN","no"
26888,../../syn/LAB3/outputs/TOP_gate.v,235116,"QN","no"
26889,../../syn/LAB3/outputs/TOP_gate.v,235122,"QN","no"
27200,../../syn/LAB3/outputs/TOP_gate.v,4105,"QN","no"
