################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: dice12
#     Report Created on: Sat Dec 21 23:06:53 2024
#     Working Directory: /mnt/home/dice12/dice/proj3/spy/pj3
#     Report Location  : ./spyglass-1/lint/lint_turbo_rtl/spyglass_reports/lint/W287b/000/W287b006.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-3
#     Policy Name      : lint(SpyGlass_vQ-2020.03-SP2-03)
#     Comment          : Output port of an instance is not connected
#
################################################################################
#CrossProbeTag:W287b_VIOLATION_CSV_TAG
##Sheet_Prop:hidecols:1
##Sheet_Prop:cross-probe-data-col:1
##Sheet_Prop:use_violation_based_waiver:1

TagId,File Name,Line Number,Port Name,WAIVED
900,../../syn/LAB3/outputs/TOP_gate.v,4621,"C1","no"
901,../../syn/LAB3/outputs/TOP_gate.v,4653,"C1","no"
902,../../syn/LAB3/outputs/TOP_gate.v,4659,"C1","no"
903,../../syn/LAB3/outputs/TOP_gate.v,4664,"C1","no"
904,../../syn/LAB3/outputs/TOP_gate.v,4675,"C1","no"
905,../../syn/LAB3/outputs/TOP_gate.v,4683,"C1","no"
906,../../syn/LAB3/outputs/TOP_gate.v,4738,"C1","no"
907,../../syn/LAB3/outputs/TOP_gate.v,4739,"C1","no"
908,../../syn/LAB3/outputs/TOP_gate.v,4740,"C1","no"
909,../../syn/LAB3/outputs/TOP_gate.v,4741,"C1","no"
910,../../syn/LAB3/outputs/TOP_gate.v,4742,"C1","no"
911,../../syn/LAB3/outputs/TOP_gate.v,4743,"C1","no"
912,../../syn/LAB3/outputs/TOP_gate.v,4744,"C1","no"
913,../../syn/LAB3/outputs/TOP_gate.v,4745,"C1","no"
914,../../syn/LAB3/outputs/TOP_gate.v,4746,"C1","no"
915,../../syn/LAB3/outputs/TOP_gate.v,4747,"C1","no"
916,../../syn/LAB3/outputs/TOP_gate.v,4748,"C1","no"
917,../../syn/LAB3/outputs/TOP_gate.v,4749,"C1","no"
918,../../syn/LAB3/outputs/TOP_gate.v,4750,"C1","no"
919,../../syn/LAB3/outputs/TOP_gate.v,4751,"C1","no"
920,../../syn/LAB3/outputs/TOP_gate.v,4752,"C1","no"
921,../../syn/LAB3/outputs/TOP_gate.v,4803,"C1","no"
922,../../syn/LAB3/outputs/TOP_gate.v,4807,"C1","no"
923,../../syn/LAB3/outputs/TOP_gate.v,4815,"C1","no"
924,../../syn/LAB3/outputs/TOP_gate.v,4816,"C1","no"
925,../../syn/LAB3/outputs/TOP_gate.v,4817,"C1","no"
926,../../syn/LAB3/outputs/TOP_gate.v,4818,"C1","no"
927,../../syn/LAB3/outputs/TOP_gate.v,4820,"C1","no"
928,../../syn/LAB3/outputs/TOP_gate.v,4823,"C1","no"
929,../../syn/LAB3/outputs/TOP_gate.v,4826,"C1","no"
930,../../syn/LAB3/outputs/TOP_gate.v,4827,"C1","no"
931,../../syn/LAB3/outputs/TOP_gate.v,4831,"C1","no"
932,../../syn/LAB3/outputs/TOP_gate.v,4832,"C1","no"
933,../../syn/LAB3/outputs/TOP_gate.v,4834,"C1","no"
934,../../syn/LAB3/outputs/TOP_gate.v,4837,"C1","no"
935,../../syn/LAB3/outputs/TOP_gate.v,4839,"C1","no"
936,../../syn/LAB3/outputs/TOP_gate.v,4844,"C1","no"
937,../../syn/LAB3/outputs/TOP_gate.v,4845,"C1","no"
938,../../syn/LAB3/outputs/TOP_gate.v,4847,"C1","no"
939,../../syn/LAB3/outputs/TOP_gate.v,4852,"C1","no"
940,../../syn/LAB3/outputs/TOP_gate.v,4854,"C1","no"
941,../../syn/LAB3/outputs/TOP_gate.v,4860,"C1","no"
942,../../syn/LAB3/outputs/TOP_gate.v,4864,"C1","no"
943,../../syn/LAB3/outputs/TOP_gate.v,4866,"C1","no"
944,../../syn/LAB3/outputs/TOP_gate.v,4874,"C1","no"
945,../../syn/LAB3/outputs/TOP_gate.v,4879,"C1","no"
946,../../syn/LAB3/outputs/TOP_gate.v,4990,"C1","no"
947,../../syn/LAB3/outputs/TOP_gate.v,4991,"C1","no"
948,../../syn/LAB3/outputs/TOP_gate.v,4992,"C1","no"
949,../../syn/LAB3/outputs/TOP_gate.v,4993,"C1","no"
950,../../syn/LAB3/outputs/TOP_gate.v,4994,"C1","no"
951,../../syn/LAB3/outputs/TOP_gate.v,4995,"C1","no"
952,../../syn/LAB3/outputs/TOP_gate.v,4996,"C1","no"
953,../../syn/LAB3/outputs/TOP_gate.v,4997,"C1","no"
954,../../syn/LAB3/outputs/TOP_gate.v,4998,"C1","no"
955,../../syn/LAB3/outputs/TOP_gate.v,4999,"C1","no"
956,../../syn/LAB3/outputs/TOP_gate.v,5000,"C1","no"
957,../../syn/LAB3/outputs/TOP_gate.v,5005,"C1","no"
958,../../syn/LAB3/outputs/TOP_gate.v,5006,"C1","no"
959,../../syn/LAB3/outputs/TOP_gate.v,5011,"C1","no"
1923,../../syn/LAB3/outputs/TOP_gate.v,19829,"C1","no"
1924,../../syn/LAB3/outputs/TOP_gate.v,19831,"C1","no"
1925,../../syn/LAB3/outputs/TOP_gate.v,19884,"C1","no"
1926,../../syn/LAB3/outputs/TOP_gate.v,19885,"C1","no"
1927,../../syn/LAB3/outputs/TOP_gate.v,19886,"C1","no"
1928,../../syn/LAB3/outputs/TOP_gate.v,19887,"C1","no"
1929,../../syn/LAB3/outputs/TOP_gate.v,19888,"C1","no"
1930,../../syn/LAB3/outputs/TOP_gate.v,19889,"C1","no"
1931,../../syn/LAB3/outputs/TOP_gate.v,19892,"C1","no"
1932,../../syn/LAB3/outputs/TOP_gate.v,19893,"C1","no"
1933,../../syn/LAB3/outputs/TOP_gate.v,19894,"C1","no"
1934,../../syn/LAB3/outputs/TOP_gate.v,19895,"C1","no"
1935,../../syn/LAB3/outputs/TOP_gate.v,19896,"C1","no"
1936,../../syn/LAB3/outputs/TOP_gate.v,19897,"C1","no"
1937,../../syn/LAB3/outputs/TOP_gate.v,19917,"C1","no"
1938,../../syn/LAB3/outputs/TOP_gate.v,19929,"C1","no"
1939,../../syn/LAB3/outputs/TOP_gate.v,19941,"C1","no"
1940,../../syn/LAB3/outputs/TOP_gate.v,19945,"C1","no"
1941,../../syn/LAB3/outputs/TOP_gate.v,19949,"C1","no"
1942,../../syn/LAB3/outputs/TOP_gate.v,19951,"C1","no"
1943,../../syn/LAB3/outputs/TOP_gate.v,19958,"C1","no"
1944,../../syn/LAB3/outputs/TOP_gate.v,19968,"C1","no"
1945,../../syn/LAB3/outputs/TOP_gate.v,19969,"C1","no"
1946,../../syn/LAB3/outputs/TOP_gate.v,19970,"C1","no"
1947,../../syn/LAB3/outputs/TOP_gate.v,19971,"C1","no"
1948,../../syn/LAB3/outputs/TOP_gate.v,19972,"C1","no"
1949,../../syn/LAB3/outputs/TOP_gate.v,19974,"C1","no"
1950,../../syn/LAB3/outputs/TOP_gate.v,19978,"C1","no"
1951,../../syn/LAB3/outputs/TOP_gate.v,20036,"C1","no"
1952,../../syn/LAB3/outputs/TOP_gate.v,20037,"C1","no"
1953,../../syn/LAB3/outputs/TOP_gate.v,20040,"C1","no"
1954,../../syn/LAB3/outputs/TOP_gate.v,20041,"C1","no"
1955,../../syn/LAB3/outputs/TOP_gate.v,20043,"C1","no"
1956,../../syn/LAB3/outputs/TOP_gate.v,20045,"C1","no"
1957,../../syn/LAB3/outputs/TOP_gate.v,20046,"C1","no"
1958,../../syn/LAB3/outputs/TOP_gate.v,20050,"C1","no"
1959,../../syn/LAB3/outputs/TOP_gate.v,20052,"C1","no"
1960,../../syn/LAB3/outputs/TOP_gate.v,20053,"C1","no"
1961,../../syn/LAB3/outputs/TOP_gate.v,20056,"C1","no"
1962,../../syn/LAB3/outputs/TOP_gate.v,20063,"C1","no"
1963,../../syn/LAB3/outputs/TOP_gate.v,20065,"C1","no"
1964,../../syn/LAB3/outputs/TOP_gate.v,20067,"C1","no"
1965,../../syn/LAB3/outputs/TOP_gate.v,20068,"C1","no"
1966,../../syn/LAB3/outputs/TOP_gate.v,20070,"C1","no"
