################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: dice12
#     Report Created on: Sat Dec 21 22:49:50 2024
#     Working Directory: /mnt/home/dice12/dice/proj3/spy/pj3
#     Report Location  : ./pj3/TOP/lint/lint_functional_rtl/spyglass_reports/auto-verify/Uninitialized_Sequential_Elements.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-3
#     Policy Name      : auto-verify(SpyGlass_vQ-2020.03-SP2-03)
#     Comment          : CSV File for Uninitialised Sequential Elements
#
################################################################################
#CrossProbeTag:AV_INITSTATE01_SS_SCH
#RuleName:Av_initstate01
ID,NAME,MODULE,ASYNC RESET,ASYNC SET,CLOCK,ENABLE,DATA,OTHERS,CLOCK NAME,RESET NAME
56,TOP.ST1.P38.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
57,TOP.ST1.P38.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
58,TOP.ST1.P23.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
59,TOP.ST1.P23.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
60,TOP.ST1.P23.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
61,TOP.ST1.P23.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
62,TOP.ST1.P23.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
63,TOP.ST1.P24.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
64,TOP.ST1.P24.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
65,TOP.ST1.P24.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
66,TOP.ST1.P25.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
67,TOP.ST1.P25.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
68,TOP.ST1.P25.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
69,TOP.ST1.P26.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
70,TOP.ST1.P26.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
71,TOP.ST1.P26.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
72,TOP.ST1.P27.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
73,TOP.ST1.P27.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
74,TOP.ST1.P27.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
75,TOP.ST1.P28.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
76,TOP.ST1.P28.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
77,TOP.ST1.P28.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
78,TOP.ST1.P12.W_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
79,TOP.ST1.P12.D_OUT[15:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
80,TOP.ST1.P12.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
81,TOP.ST1.P12.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
82,TOP.ST1.P12.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
83,TOP.ST1.P13.W_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
84,TOP.ST1.P13.D_IN_SE[19:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
85,TOP.ST1.P13.RESULT_REG[39:0],PE,X,-,-,-,X,no,TOP.CLK,NULL
