################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: dice12
#     Report Created on: Sat Dec 21 23:08:19 2024
#     Working Directory: /mnt/home/dice12/dice/proj3/spy/pj3
#     Report Location  : ./spyglass-1/lint/lint_functional_rtl/spyglass_reports/auto-verify/Uninitialized_Sequential_Elements.csv
#     SpyGlass Version : SpyGlass_vQ-2020.03-SP2-3
#     Policy Name      : auto-verify(SpyGlass_vQ-2020.03-SP2-03)
#     Comment          : CSV File for Uninitialised Sequential Elements
#
################################################################################
#CrossProbeTag:AV_INITSTATE01_SS_SCH
#RuleName:Av_initstate01
ID,NAME,MODULE,ASYNC RESET,ASYNC SET,CLOCK,ENABLE,DATA,OTHERS,CLOCK NAME,RESET NAME
45,TOP.OB.\RESULT_415_reg[5] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
46,TOP.OB.\RESULT_415_reg[4] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
47,TOP.OB.\RESULT_415_reg[3] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
48,TOP.OB.\RESULT_415_reg[2] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
49,TOP.OB.\RESULT_415_reg[1] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
50,TOP.OB.\RESULT_415_reg[0] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
51,TOP.OB.\RESULT_158_reg[15] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
52,TOP.OB.\RESULT_158_reg[14] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
53,TOP.OB.\RESULT_158_reg[13] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
54,TOP.OB.\RESULT_158_reg[12] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
55,TOP.OB.\RESULT_158_reg[11] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
56,TOP.OB.\RESULT_158_reg[10] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
57,TOP.OB.\RESULT_158_reg[9] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
58,TOP.OB.\RESULT_158_reg[8] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
59,TOP.OB.\RESULT_158_reg[7] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
60,TOP.OB.\RESULT_158_reg[6] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
61,TOP.OB.\RESULT_158_reg[5] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
62,TOP.OB.\RESULT_158_reg[4] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
63,TOP.OB.\RESULT_158_reg[3] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
64,TOP.OB.\RESULT_158_reg[2] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
65,TOP.OB.\RESULT_158_reg[1] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
66,TOP.OB.\RESULT_158_reg[0] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
67,TOP.OB.\RESULT_382_reg[15] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
68,TOP.OB.\RESULT_382_reg[14] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
69,TOP.OB.\RESULT_382_reg[13] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
70,TOP.OB.\RESULT_382_reg[12] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
71,TOP.OB.\RESULT_382_reg[11] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
72,TOP.OB.\RESULT_382_reg[10] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
73,TOP.OB.\RESULT_382_reg[9] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
74,TOP.OB.\RESULT_382_reg[8] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
75,TOP.OB.\RESULT_382_reg[7] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
76,TOP.OB.\RESULT_382_reg[6] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
77,TOP.OB.\RESULT_382_reg[5] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
78,TOP.OB.\RESULT_382_reg[4] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
79,TOP.OB.\RESULT_382_reg[3] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
80,TOP.OB.\RESULT_382_reg[2] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
81,TOP.OB.\RESULT_382_reg[1] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
82,TOP.OB.\RESULT_382_reg[0] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
83,TOP.OB.\RESULT_574_reg[15] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
84,TOP.OB.\RESULT_574_reg[14] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
85,TOP.OB.\RESULT_574_reg[13] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
86,TOP.OB.\RESULT_574_reg[12] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
87,TOP.OB.\RESULT_574_reg[11] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
88,TOP.OB.\RESULT_574_reg[10] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
89,TOP.OB.\RESULT_574_reg[9] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
90,TOP.OB.\RESULT_574_reg[8] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
91,TOP.OB.\RESULT_574_reg[7] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
92,TOP.OB.\RESULT_574_reg[6] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
93,TOP.OB.\RESULT_574_reg[5] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
94,TOP.OB.\RESULT_574_reg[4] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
95,TOP.OB.\RESULT_574_reg[3] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
96,TOP.OB.\RESULT_574_reg[2] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
97,TOP.OB.\RESULT_574_reg[1] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
98,TOP.OB.\RESULT_574_reg[0] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
99,TOP.OB.\RESULT_125_reg[15] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
100,TOP.OB.\RESULT_125_reg[14] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
101,TOP.OB.\RESULT_125_reg[13] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
102,TOP.OB.\RESULT_125_reg[12] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
103,TOP.OB.\RESULT_125_reg[11] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
104,TOP.OB.\RESULT_125_reg[10] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
105,TOP.OB.\RESULT_125_reg[9] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
106,TOP.OB.\RESULT_125_reg[8] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
107,TOP.OB.\RESULT_125_reg[7] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
108,TOP.OB.\RESULT_125_reg[6] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
109,TOP.OB.\RESULT_125_reg[5] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
110,TOP.OB.\RESULT_125_reg[4] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
111,TOP.OB.\RESULT_125_reg[3] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
112,TOP.OB.\RESULT_125_reg[2] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
113,TOP.OB.\RESULT_125_reg[1] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
114,TOP.OB.\RESULT_125_reg[0] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
115,TOP.OB.\RESULT_349_reg[15] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
116,TOP.OB.\RESULT_349_reg[14] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
117,TOP.OB.\RESULT_349_reg[13] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
118,TOP.OB.\RESULT_349_reg[12] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
119,TOP.OB.\RESULT_349_reg[11] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
120,TOP.OB.\RESULT_349_reg[10] .Q_buf,DFFARX1_HVT,X,1,-,-,X,no,TOP.CLK,NULL
